CustomerID,Products0,Products1,Products2,Products3,Products4,PurchaseCount,PurchaseMin,PurchaseMax,PurchaseMean,PurchaseSum,Foreign,Cluster
12346.0,0.0,0.0,0.0,0.0,0.0,2,-77183.6,77183.6,0.0,0.0,0,0
12347.0,153.9,145.44,2962.26,561.0,487.4,182,5.04,249.6,23.68131868131868,4310.0,1,0
12348.0,191.0,0.0,1500.88,63.6,41.76,31,13.2,240.0,57.97548387096774,1797.24,1,0
12349.0,244.87,127.95,1041.44,101.49,241.8,73,6.64,300.0,24.076027397260276,1757.55,1,0
12350.0,0.0,0.0,279.2,19.8,35.4,17,8.5,40.0,19.670588235294115,334.4,1,0
12352.0,257.6,93.8,1120.71,53.5,19.8,95,-376.5,376.5,16.267473684210525,1545.41,1,0
12353.0,0.0,0.0,89.0,0.0,0.0,4,11.6,39.8,22.25,89.0,1,0
12354.0,123.55,15.0,632.14,26.35,282.36,58,8.5,54.08,18.610344827586207,1079.4,1,0
12355.0,0.0,0.0,459.4,0.0,0.0,13,17.700000000000003,120.0,35.33846153846154,459.4,1,0
12356.0,585.15,286.52,1662.16,35.400000000000006,242.2,59,3.75,324.0,47.65135593220339,2811.43,1,0
12357.0,276.96,439.92,3717.3,180.48,1593.01,131,10.08,237.6,47.38679389312977,6207.67,1,0
12358.0,0.0,0.0,953.86,0.0,214.2,19,9.36,160.0,61.47684210526315,1168.06,1,0
12359.0,437.28,55.85,4695.8,815.45,241.15,254,-42.5,290.0,24.58870078740157,6245.53,1,0
12360.0,695.22,0.0,1624.56,116.34,225.94,129,5.04,160.0,20.63612403100775,2662.06,1,0
12361.0,35.400000000000006,0.0,138.0,0.0,16.5,10,15.0,23.4,18.99,189.9,1,0
12362.0,661.83,72.57,3278.18,424.25,717.75,274,-17.0,60.0,18.81233576642336,5154.58,1,0
12363.0,69.6,0.0,187.8,235.5,59.1,23,13.2,69.36,24.0,552.0,1,0
12364.0,134.8,19.8,929.16,28.74,200.6,85,5.04,64.8,15.448235294117646,1313.1,1,0
12365.0,34.8,19.75,266.14000000000004,0.0,0.0,23,-320.69,320.69,13.94304347826087,320.69,1,0
12367.0,10.2,0.0,158.7,0.0,0.0,11,9.9,23.4,15.354545454545455,168.9,1,0
12370.0,192.0,666.1,2567.89,0.0,119.7,167,1.25,163.2,21.231676646706585,3545.69,1,0
12371.0,187.29,63.7,1559.12,20.85,57.0,63,4.68,360.0,29.96761904761905,1887.96,1,0
12372.0,261.90000000000003,0.0,857.9399999999999,88.2,90.0,52,10.08,70.80000000000001,24.962307692307693,1298.04,1,0
12373.0,53.10000000000001,0.0,266.5,0.0,45.0,14,8.5,40.0,26.042857142857144,364.6,1,0
12374.0,49.5,44.45,564.5,84.48,0.0,33,5.04,120.0,22.513030303030305,742.9300000000001,1,0
12375.0,0.0,0.0,393.02,62.400000000000006,0.0,18,-2.08,62.400000000000006,25.301111111111112,455.42,1,0
12377.0,113.1,19.8,1406.12,0.0,89.1,77,5.04,80.0,21.144415584415583,1628.12,1,0
12378.0,509.93,139.20000000000002,2348.88,406.15,604.46,219,4.68,69.36,18.30420091324201,4008.62,1,0
12379.0,125.70000000000002,0.0,471.69,16.5,236.4,41,-1.95,76.19999999999999,20.73878048780488,850.29,1,0
12380.0,425.31,19.8,1674.16,201.04,400.25,105,-4.25,157.92000000000002,25.91009523809524,2720.56,1,0
12381.0,440.04,41.760000000000005,1184.66,64.80000000000001,72.69999999999999,91,-15.0,240.0,19.823736263736265,1803.96,1,0
12383.0,211.58,15.3,1293.2,51.84,267.39,100,-11.25,72.0,18.3931,1839.31,1,0
12384.0,104.98,0.0,336.33000000000004,41.75,83.1,30,-9.95,80.0,18.872,566.16,1,0
12386.0,17.700000000000003,0.0,334.4,19.8,30.0,10,17.700000000000003,75.0,40.19,401.9,1,0
12388.0,778.07,183.6,1396.38,309.86,112.75,100,9.36,81.36,27.8066,2780.66,1,0
12390.0,122.3,0.0,310.24,45.900000000000006,71.4,32,7.800000000000001,45.0,17.1825,549.84,1,0
12391.0,62.72,74.89,279.68,23.4,20.2,100,0.83,29.5,4.6089,460.89,1,0
12393.0,166.8,19.8,1024.0,16.5,355.5,64,10.2,141.60000000000002,24.728125,1582.6,1,0
12394.0,749.3,0.0,459.54,19.8,43.84,27,6.8,266.24,47.12888888888889,1272.48,1,0
12395.0,386.5,42.650000000000006,2025.18,55.59,488.36,159,-14.85,76.5,18.857106918238998,2998.28,1,0
12397.0,532.87,17.700000000000003,1552.68,115.05,191.6,126,5.04,127.5,19.12619047619048,2409.9,1,0
12398.0,224.44,0.0,974.9,98.92,337.4,85,6.64,200.0,19.24305882352941,1635.66,1,0
12399.0,105.16,19.92,655.45,80.16,247.96,59,8.4,70.2,18.790677966101697,1108.65,1,0
12401.0,0.0,0.0,73.35,0.0,10.95,5,10.95,25.5,16.86,84.3,1,0
12402.0,35.400000000000006,0.0,153.0,37.2,0.0,11,9.9,35.400000000000006,20.509090909090908,225.6,1,0
12403.0,0.0,0.0,409.7,0.0,0.0,6,-18.0,166.0,68.28333333333333,409.7,1,0
12405.0,275.25,55.2,1160.97,44.55,174.42,54,9.96,320.0,31.67388888888889,1710.39,1,0
12406.0,555.62,139.6,2301.4,164.13,120.0,108,-59.8,145.0,30.377314814814813,3280.75,1,0
12407.0,327.18,0.0,1289.59,13.2,78.15,77,2.88,90.0,22.183376623376624,1708.12,1,0
12408.0,478.7,0.0,1846.44,261.97,255.46,113,-15.0,122.4,25.15548672566372,2842.57,1,0
12409.0,1841.4,171.6,7010.87,610.9200000000001,1422.14,114,-4.95,300.0,96.99061403508772,11056.93,1,0
12410.0,62.58,0.0,496.45,17.700000000000003,104.35,28,-8.5,160.0,24.32428571428571,681.0799999999999,1,0
12412.0,133.68,70.80000000000001,936.54,5.04,80.82,61,5.04,50.400000000000006,20.112786885245903,1226.88,1,0
12413.0,171.95000000000002,17.700000000000003,243.15,29.95,231.4,40,-54.0,54.0,17.353749999999998,694.15,1,0
12414.0,0.0,0.0,511.41,19.8,31.200000000000003,18,7.56,79.2,31.245,562.41,1,0
12415.0,25841.18,746.72,72646.61,11340.1,13150.84,778,-425.0,1718.4,159.0301413881748,123725.45,1,1
12417.0,443.19,24.95,2554.97,221.09,334.6,198,-19.95,84.0,18.074747474747475,3578.8,1,0
12418.0,217.6,0.0,381.33,54.9,14.75,34,5.04,68.0,19.664117647058823,668.58,1,0
12420.0,106.65,18.72,360.18,29.04,85.8,29,10.08,39.8,20.70310344827586,600.39,1,0
12421.0,62.7,70.62,623.81,49.14,0.0,46,-0.77,56.0,17.527608695652173,806.27,1,0
12422.0,57.9,57.6,570.76,92.05,25.25,39,8.5,120.0,20.604102564102565,803.5600000000001,1,0
12423.0,292.41,44.76,1207.75,17.700000000000003,286.49,126,-10.2,45.0,14.67547619047619,1849.11,1,0
12424.0,296.79,16.6,1202.47,85.80000000000001,159.3,30,9.9,306.0,58.69866666666667,1760.96,1,0
12425.0,179.25,0.0,389.75,36.3,171.9,36,8.5,70.80000000000001,21.58888888888889,777.2,1,0
12426.0,98.4,0.0,438.93,12.7,32.7,30,2.5,72.0,19.424333333333333,582.73,1,0
12427.0,257.16,0.0,416.86,17.85,16.5,35,-60.48,68.0,20.239142857142856,708.37,1,0
12428.0,618.19,113.1,5169.57,675.61,1300.73,300,-40.0,551.2,26.25733333333333,7877.2,1,0
12429.0,569.8000000000001,88.80000000000001,2867.7,13.2,210.9,97,4.68,183.6,38.66391752577319,3750.4,1,0
12430.0,82.2,0.0,126.4,47.8,0.0,11,9.96,47.8,23.30909090909091,256.4,1,0
12431.0,797.35,162.89999999999998,3688.52,149.35,1618.27,240,-38.16,601.44,26.73495833333333,6416.39,1,0
12432.0,822.2,125.76,3168.1,186.84,756.4200000000001,108,4.68,700.0,46.84555555555556,5059.32,1,0
12433.0,1414.62,417.1,9485.26,513.03,1545.86,420,2.88,203.52,31.847309523809525,13375.87,1,0
12434.0,156.45,0.0,468.9,78.03999999999999,61.8,54,-13.2,47.6,14.170185185185186,765.19,1,0
12435.0,1843.8,0.0,4767.79,0.0,1218.3000000000002,36,39.0,428.4,217.49694444444447,7829.89,1,0
12436.0,95.1,0.0,366.03,47.88,0.0,16,12.6,80.0,31.813125,509.01,1,0
12437.0,605.74,56.1,3206.63,95.5,932.69,201,-54.75,131.39999999999998,24.36149253731343,4896.66,1,0
12438.0,682.4200000000001,17.4,1892.33,144.4,170.29999999999998,98,2.88,320.0,29.66173469387755,2906.85,1,0
