CustomerID,Products0,Products1,Products2,Products3,Products4,PurchaseCount,PurchaseMin,PurchaseMax,PurchaseMean,PurchaseSum,Foreign
12347.0,408.90000000000003,2796.26,105.80000000000001,459.7,539.34,182,5.04,249.60000000000002,23.681318681318682,4310.0,1
12348.0,524.6,1230.88,41.76,0.0,0.0,31,13.200000000000001,240.0,57.97548387096774,1797.24,1
12349.0,244.87,1145.48,138.15,0.0,229.05,73,6.64,300.0,24.076027397260273,1757.55,1
12350.0,0.0,299.0,20.4,0.0,15.0,17,8.5,40.0,19.670588235294115,334.4,1
12352.0,257.6,1214.6100000000001,0.0,0.0,73.19999999999999,95,-376.5,376.5,16.267473684210525,1545.41,1
12353.0,0.0,89.0,0.0,0.0,0.0,4,11.6,39.8,22.25,89.0,1
12354.0,123.55,571.19,194.51,82.3,107.85,58,8.5,54.08,18.610344827586207,1079.4,1
12355.0,0.0,382.9,0.0,0.0,76.5,13,17.700000000000003,120.0,35.33846153846154,459.4,1
12356.0,787.35,1536.08,216.6,0.0,271.4,59,3.75,324.0,47.65135593220339,2811.43,1
12357.0,276.96,4081.14,1016.5200000000001,0.0,833.05,131,10.08,237.60000000000002,47.38679389312977,6207.67,1
12358.0,0.0,938.8600000000001,0.0,0.0,229.20000000000002,19,9.36,160.0,61.47684210526315,1168.06,1
12359.0,437.28000000000003,4799.7,79.2,288.1,641.25,254,-42.5,290.0,24.588700787401574,6245.53,1
12360.0,728.8199999999999,1426.86,126.04,123.7,256.64,129,5.04,160.0,20.63612403100775,2662.06,1
12361.0,35.400000000000006,34.8,16.5,33.0,70.19999999999999,10,15.0,23.4,18.990000000000002,189.9,1
12362.0,685.23,2710.09,292.9,626.7,839.66,274,-17.0,60.0,18.812335766423356,5154.58,1
12363.0,168.6,307.62,15.9,0.0,59.88,23,13.200000000000001,69.36,24.0,552.0,1
12364.0,227.2,905.7,72.8,0.0,107.4,85,5.04,64.8,15.448235294117646,1313.1,1
12365.0,34.8,253.89000000000001,0.0,0.0,32.0,23,-320.69,320.69,13.94304347826087,320.69,1
12367.0,10.2,61.5,0.0,27.0,70.19999999999999,11,9.9,23.4,15.354545454545455,168.9,1
12370.0,192.0,2995.74,67.5,106.19999999999999,184.25,167,1.25,163.2,21.231676646706585,3545.69,1
12371.0,187.29,1499.5700000000002,41.7,16.5,142.9,63,4.68,360.0,29.96761904761905,1887.96,1
12372.0,261.90000000000003,569.64,79.5,78.0,309.0,52,10.08,70.80000000000001,24.962307692307693,1298.04,1
12373.0,53.10000000000001,77.5,45.0,189.0,0.0,14,8.5,40.0,26.042857142857144,364.6,1
